The Great Gatsby,PM001,Fiction,F. Scott Fitzgerald,1925
To Kill a Mockingbird,PM002,Fiction,Harper Lee,1960
1984,PM003,Fiction,George Orwell,1949
Pride and Prejudice,PM004,Romance,Jane Austen,1813
The Catcher in the Rye,PM005,Fiction,J.D. Salinger,1951
The Hobbit,PM006,Fantasy,J.R.R. Tolkien,1937
Moby-Dick,PM007,Adventure,Herman Melville,1851
Brave New World,PM008,Science Fiction,Aldous Huxley,1932
The Lord of the Rings,PM009,Fantasy,J.R.R. Tolkien,1954
Great Expectations,PM010,Classics,Charles Dickens,1861
War and Peace,PM011,Historical Fiction,Leo Tolstoy,1869
The Odyssey,PM012,Mythology,Homer,8th century BC
Crime and Punishment,PM013,Psychological Fiction,Fyodor Dostoevsky,1866
The Grapes of Wrath,PM014,Classics,John Steinbeck,1939
One Hundred Years of Solitude,PM015,Magic Realism,Gabriel García Márquez,1967
The Sun Also Rises,PM016,Modernist Literature,Ernest Hemingway,1926
The Road,PM017,Post-Apocalyptic,Cormac McCarthy,2006
The Divine Comedy,PM018,Epic Poetry,Dante Alighieri,1320
The Iliad,PM019,Classical Epic,Homer,8th century BC
The Odyssey,PM020,Mythology,Homer,8th century BC
Crime and Punishment,PM021,Psychological Fiction,Fyodor Dostoevsky,1866
Moby-Dick,PM022,Adventure,Herman Melville,1851
The Sun Also Rises,PM023,Modernist Literature,Ernest Hemingway,1926
The Great Gatsby,PM024,Fiction,F. Scott Fitzgerald,1925
The Road,PM025,Post-Apocalyptic,Cormac McCarthy,2006
